parameter_name,parameter_code,series_name,data
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:45:00+00:00', 'value': 89.3000030518}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:46:00+00:00', 'value': 95.2000045776}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:47:00+00:00', 'value': 110.5}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:48:00+00:00', 'value': 84.9000015259}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:49:00+00:00', 'value': 84.5}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:50:00+00:00', 'value': 102.300003052}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:51:00+00:00', 'value': 80.5}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:52:00+00:00', 'value': 89.5999984741}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:53:00+00:00', 'value': 82.4000015259}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:54:00+00:00', 'value': 83}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:55:00+00:00', 'value': 78.5999984741}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:56:00+00:00', 'value': 92.5999984741}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:57:00+00:00', 'value': 117}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:58:00+00:00', 'value': 81}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:59:00+00:00', 'value': 94}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:00:00+00:00', 'value': 74.3000030518}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:01:00+00:00', 'value': 80.3000030518}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:02:00+00:00', 'value': 128.600006104}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:03:00+00:00', 'value': 86}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:04:00+00:00', 'value': 89.2000045776}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:05:00+00:00', 'value': 95.7000045776}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:06:00+00:00', 'value': 131.400009155}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:07:00+00:00', 'value': 78.3000030518}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:08:00+00:00', 'value': 82}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:09:00+00:00', 'value': 163}"
PM10 Inst,PM10_I,PM10 Inst,"{'aqi': 67.4424040066778, 'value': 80.2, 'datetime': '2020-03-24T03:10:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:11:00+00:00', 'value': 74.8000030518}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:12:00+00:00', 'value': 107.700004578}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:13:00+00:00', 'value': 80.0999984741}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:14:00+00:00', 'value': 77.5999984741}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:15:00+00:00', 'value': 78.0999984741}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:16:00+00:00', 'value': 71.7000045776}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:17:00+00:00', 'value': 98.7000045776}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:18:00+00:00', 'value': 79.5}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:19:00+00:00', 'value': 90}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:20:00+00:00', 'value': 73.4000015259}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:21:00+00:00', 'value': 101.200004578}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:22:00+00:00', 'value': 83.8000030518}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:23:00+00:00', 'value': 109}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:24:00+00:00', 'value': 95.3000030518}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:25:00+00:00', 'value': 81.4000015259}"
PM10 Inst,PM10_I,PM10 Inst,"{'aqi': 75.05008347245409, 'value': 89.5, 'datetime': '2020-03-24T03:26:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 83.9000015259, 'datetime': '2020-03-24T03:27:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 82.9000015259, 'datetime': '2020-03-24T03:28:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 75.5999984741, 'datetime': '2020-03-24T03:29:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 86.3000030518, 'datetime': '2020-03-24T03:30:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 78.5999984741, 'datetime': '2020-03-24T03:31:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 93.3000030518, 'datetime': '2020-03-24T03:32:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 83, 'datetime': '2020-03-24T03:33:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 129.5, 'datetime': '2020-03-24T03:34:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 65.5999984741, 'datetime': '2020-03-24T03:35:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 61.1000022888, 'datetime': '2020-03-24T03:36:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 53.7000007629, 'datetime': '2020-03-24T03:37:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 59.7000007629, 'datetime': '2020-03-24T03:38:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T03:39:00+00:00', 'value': 100.3, 'aqi': 83.88480801335558}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 67.4000015259, 'datetime': '2020-03-24T03:40:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 58.2999992371, 'datetime': '2020-03-24T03:41:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 169, 'datetime': '2020-03-24T03:42:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 79.2000045776, 'datetime': '2020-03-24T03:43:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 77, 'datetime': '2020-03-24T03:44:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 72.4000015259, 'datetime': '2020-03-24T03:45:00+00:00'}"
